Modelo,MAE_test_DrivenData,MAE_val,MAE_val_SJ,MAE_val_Iq,Algoritmo,Hiperparámetros SJ,Hiperparámetros Iq,Características
A,34.4327,12.85205479452055,16.195744680851067,6.8076923076923075,Lineal Regression,{},{},"[['year', 'week_start_date2', 'ndvi_ne', 'ndvi_nw', 'ndvi_se', 'ndvi_sw', 'precipitation_amt_mm', 'reanalysis_air_temp_k', 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_precip_amt_kg_per_m2', 'reanalysis_relative_humidity_percent', 'reanalysis_specific_humidity_g_per_kg', 'reanalysis_tdtr_k', 'station_avg_temp_c', 'station_diur_temp_rng_c', 'station_max_temp_c', 'station_min_temp_c', 'station_precip_mm', 'city_bin']]"
B,26.1130,9.660273972602742,12.897872340425534,3.8076923076923075,Random Forest,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 128, 'random_state': 20}","{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 128, 'random_state': 20}","[['year', 'week_start_date2', 'ndvi_ne', 'ndvi_nw', 'ndvi_se', 'ndvi_sw', 'precipitation_amt_mm', 'reanalysis_air_temp_k', 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_precip_amt_kg_per_m2', 'reanalysis_relative_humidity_percent', 'reanalysis_specific_humidity_g_per_kg', 'reanalysis_tdtr_k', 'station_avg_temp_c', 'station_diur_temp_rng_c', 'station_max_temp_c', 'station_min_temp_c', 'station_precip_mm', 'city_bin']]"
C,26.1082,6.228767123287674,8.280851063829791,2.519230769230769,AdaBoost con estimador Decision Tree,"AdaBoostRegressor(estimator=DecisionTreeRegressor(criterion='absolute_error'),learning_rate=0.08, loss='square', n_estimators=128,random_state=46)","AdaBoostRegressor(estimator=DecisionTreeRegressor(criterion='absolute_error'),learning_rate=0.03, loss='square', n_estimators=64,random_state=46)","[['year', 'week_start_date2', 'ndvi_ne', 'ndvi_nw', 'ndvi_se', 'ndvi_sw', 'precipitation_amt_mm', 'reanalysis_air_temp_k', 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_precip_amt_kg_per_m2', 'reanalysis_relative_humidity_percent', 'reanalysis_specific_humidity_g_per_kg', 'reanalysis_tdtr_k', 'station_avg_temp_c', 'station_diur_temp_rng_c', 'station_max_temp_c', 'station_min_temp_c', 'station_precip_mm', 'city_bin']]"
D,25.7548,7.22191780821918,9.365957446808514,3.3461538461538463,AdaBoost con estimador GradientBoosting,"AdaBoostRegressor(estimator=GradientBoostingRegressor(), learning_rate=0.1,loss='exponential', n_estimators=6, random_state=20)","AdaBoostRegressor(estimator=GradientBoostingRegressor(), learning_rate=0.01,loss='exponential', n_estimators=3, random_state=20)","[['year', 'week_start_date2', 'ndvi_ne', 'ndvi_nw', 'ndvi_se', 'ndvi_sw', 'precipitation_amt_mm', 'reanalysis_air_temp_k', 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_precip_amt_kg_per_m2', 'reanalysis_relative_humidity_percent', 'reanalysis_specific_humidity_g_per_kg', 'reanalysis_tdtr_k', 'station_avg_temp_c', 'station_diur_temp_rng_c', 'station_max_temp_c', 'station_min_temp_c', 'station_precip_mm', 'city_bin']]"
